sno sname sex cls collage grade major
20190001020 鱼乐心 男 2019体育教育3班 体育科学学院 2019 体育教育
20190001021 红星纬 男 2019体育教育3班 体育科学学院 2019 体育教育
20190001022 陆开诚 男 2019体育教育3班 体育科学学院 2019 体育教育
20190001023 于光临 男 2019体育教育3班 体育科学学院 2019 体育教育
20190001024 薛温茂 男 2019体育教育3班 体育科学学院 2019 体育教育
20190001025 何永望 男 2019体育教育3班 体育科学学院 2019 体育教育
20190001026 邓冠芳 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001027 程晶燕 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001028 吕玲丽 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001029 贾情文 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001030 赵高洁 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001031 段彦珺 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001032 孙仪芳 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001033 郭惠娅 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001034 袁天恩 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001035 武瑜璟 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001036 尹夏尔 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001037 潘虹颖 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001038 戴亚玲 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001039 贾米琪 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001040 谭清润 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001041 汪白筠 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001042 丁余馥 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001043 邹依霜 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001044 石湘灵 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001045 邱虹颖 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001046 苏米琪 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001047 段芷蝶 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001048 陈敏丽 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001049 钱水瑶 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001050 侯纯洁 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001051 黄曼云 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001052 陆海云 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001053 王玉华 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001054 江湛英 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001055 马冷菱 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001056 田芷茹 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001057 白从灵 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001058 汪颀秀 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001059 郭惠琴 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001060 孙梦香 女 2019健身体育1班 体育科学学院 2019 健身体育
20190001061 常奇玮 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001062 孙凯乐 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001063 燕天纵 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001064 闻建元 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001065 鱼乐心 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001066 红星纬 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001067 陆开诚 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001068 于光临 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001069 薛温茂 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001070 何永望 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001071 劳阳飇 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001072 满浩瀚 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001073 杜凯凯 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001074 车奇迈 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001075 赖茂典 男 2019健身体育1班 体育科学学院 2019 健身体育
20190001076 钟和璧 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001077 邓冠芳 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001078 程晶燕 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001079 吕玲丽 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001080 贾情文 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001081 赵高洁 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001082 段彦珺 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001083 孙仪芳 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001084 郭惠娅 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001085 袁天恩 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001086 武瑜璟 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001087 尹夏尔 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001088 潘虹颖 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001089 戴亚玲 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001090 贾米琪 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001091 谭清润 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001092 汪白筠 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001093 丁余馥 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001094 邹依霜 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001095 石湘灵 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001096 邱虹颖 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001097 苏米琪 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001098 段芷蝶 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001099 陈敏丽 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001100 钱水瑶 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001101 侯纯洁 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001102 黄曼云 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001103 陆海云 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001104 王玉华 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001105 江湛英 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001106 马冷菱 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001107 田芷茹 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001108 白从灵 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001109 汪颀秀 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001110 郭惠琴 女 2019健身体育2班 体育科学学院 2019 健身体育
20190001111 常奇玮 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001112 孙凯乐 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001113 燕天纵 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001114 闻建元 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001115 鱼乐心 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001116 红星纬 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001117 陆开诚 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001118 于光临 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001119 薛温茂 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001120 何永望 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001121 劳阳飇 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001122 满浩瀚 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001123 杜凯凯 男 2019健身体育2班 体育科学学院 2019 健身体育
20190001124 钟和璧 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001125 邓冠芳 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001126 程晶燕 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001127 吕玲丽 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001128 贾情文 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001129 赵高洁 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001130 段彦珺 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001131 孙仪芳 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001132 郭惠娅 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001133 袁天恩 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001134 武瑜璟 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001135 尹夏尔 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001136 潘虹颖 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001137 戴亚玲 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001138 贾米琪 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001139 谭清润 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001140 汪白筠 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001141 丁余馥 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001142 邹依霜 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001143 石湘灵 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001144 邱虹颖 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001145 苏米琪 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001146 段芷蝶 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001147 陈敏丽 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001148 钱水瑶 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001149 侯纯洁 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001150 黄曼云 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001151 陆海云 女 2019健身体育3班 体育科学学院 2019 健身体育
20190001152 朱博学 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001153 贾向荣 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001154 常奇玮 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001155 孙凯乐 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001156 燕天纵 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001157 闻建元 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001158 鱼乐心 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001159 红星纬 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001160 陆开诚 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001161 于光临 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001162 薛温茂 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001163 何永望 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001164 劳阳飇 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001165 满浩瀚 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001166 杜凯凯 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001167 车奇迈 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001168 赖茂典 男 2019健身体育3班 体育科学学院 2019 健身体育
20190001169 卢语海 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001170 毛盼柳 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001171 蒋依楠 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001172 叶七微 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001173 曹雨莹 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001174 苏瑾琳 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001175 贺娇洁 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001176 钟和璧 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001177 邓冠芳 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001178 程晶燕 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001179 吕玲丽 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001180 贾情文 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001181 赵高洁 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001182 段彦珺 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001183 孙仪芳 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001184 郭惠娅 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001185 袁天恩 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001186 武瑜璟 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001187 尹夏尔 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001188 潘虹颖 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001189 戴亚玲 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001190 贾米琪 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001191 谭清润 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001192 汪白筠 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001193 丁余馥 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001194 邹依霜 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001195 石湘灵 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001196 邱虹颖 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001197 苏米琪 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001198 段芷蝶 女 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001199 燕天纵 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001200 闻建元 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001201 鱼乐心 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001202 红星纬 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001203 陆开诚 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001204 于光临 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001205 薛温茂 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001206 何永望 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001207 劳阳飇 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001208 满浩瀚 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001209 杜凯凯 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001210 车奇迈 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001211 赖茂典 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001212 乜皓轩 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001213 薛经武 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001214 濮文滨 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001215 巴同和 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001216 广宏儒 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001217 谢安宁 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001218 居嘉祥 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001219 高建华 男 2019水下运动专项1班 体育科学学院 2019 水下运动专项
20190001220 蒋依楠 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001221 叶七微 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001222 曹雨莹 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001223 苏瑾琳 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001224 贺娇洁 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001225 钟和璧 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001226 邓冠芳 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001227 程晶燕 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001228 吕玲丽 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001229 贾情文 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001230 赵高洁 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001231 段彦珺 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001232 孙仪芳 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001233 郭惠娅 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001234 袁天恩 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001235 武瑜璟 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001236 尹夏尔 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001237 潘虹颖 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001238 戴亚玲 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001239 贾米琪 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001240 谭清润 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001241 汪白筠 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001242 丁余馥 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001243 邹依霜 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001244 石湘灵 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001245 邱虹颖 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001246 苏米琪 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001247 段芷蝶 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001248 陈敏丽 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001249 钱水瑶 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001250 侯纯洁 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001251 黄曼云 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001252 陆海云 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001253 王玉华 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001254 江湛英 女 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001255 陆开诚 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001256 于光临 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001257 薛温茂 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001258 何永望 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001259 劳阳飇 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001260 满浩瀚 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001261 杜凯凯 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001262 车奇迈 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001263 赖茂典 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001264 乜皓轩 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001265 薛经武 男 2019水下运动专项2班 体育科学学院 2019 水下运动专项
20190001266 钟和璧 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001267 邓冠芳 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001268 程晶燕 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001269 吕玲丽 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001270 贾情文 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001271 赵高洁 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001272 段彦珺 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001273 孙仪芳 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001274 郭惠娅 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001275 袁天恩 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001276 武瑜璟 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001277 尹夏尔 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001278 潘虹颖 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001279 戴亚玲 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001280 贾米琪 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001281 谭清润 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001282 汪白筠 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001283 丁余馥 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001284 邹依霜 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001285 石湘灵 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001286 邱虹颖 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001287 苏米琪 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001288 段芷蝶 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001289 陈敏丽 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001290 钱水瑶 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001291 侯纯洁 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001292 黄曼云 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001293 陆海云 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001294 王玉华 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001295 江湛英 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001296 马冷菱 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001297 田芷茹 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001298 白从灵 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001299 汪颀秀 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001300 郭惠琴 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001301 孙梦香 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001302 杜曼安 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001303 黄蕙芸 女 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001304 廖修平 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001305 利嘉誉 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001306 朱博学 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001307 贾向荣 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001308 常奇玮 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001309 孙凯乐 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001310 燕天纵 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001311 闻建元 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001312 鱼乐心 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001313 红星纬 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001314 陆开诚 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001315 于光临 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001316 薛温茂 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001317 何永望 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001318 劳阳飇 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001319 满浩瀚 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001320 杜凯凯 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001321 车奇迈 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001322 赖茂典 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001323 乜皓轩 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001324 薛经武 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001325 濮文滨 男 2019水下运动专项3班 体育科学学院 2019 水下运动专项
20190001326 吕玲丽 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001327 贾情文 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001328 赵高洁 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001329 段彦珺 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001330 孙仪芳 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001331 郭惠娅 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001332 袁天恩 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001333 武瑜璟 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001334 尹夏尔 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001335 潘虹颖 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001336 戴亚玲 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001337 贾米琪 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001338 谭清润 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001339 汪白筠 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001340 丁余馥 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001341 邹依霜 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001342 石湘灵 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001343 邱虹颖 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001344 苏米琪 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001345 段芷蝶 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001346 陈敏丽 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001347 钱水瑶 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001348 侯纯洁 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001349 黄曼云 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001350 陆海云 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001351 王玉华 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001352 江湛英 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001353 马冷菱 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001354 田芷茹 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001355 白从灵 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001356 汪颀秀 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001357 郭惠琴 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001358 孙梦香 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001359 杜曼安 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001360 黄蕙芸 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001361 邹亦旋 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001362 郭梦桃 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001363 吴雅芙 女 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001364 于光临 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001365 薛温茂 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001366 何永望 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001367 劳阳飇 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001368 满浩瀚 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001369 杜凯凯 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001370 车奇迈 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001371 赖茂典 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001372 乜皓轩 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001373 薛经武 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001374 濮文滨 男 2019篮球专项1班 体育科学学院 2019 篮球专项
20190001375 巴同和 男 2019篮球专项1班 体育科学学院 2019 篮球专项
