tno tname collage title leadclass sex
55000399 文展鹏 美术与设计学院 教授 2019平面设计艺术1班 男
55000400 黎蕴和 美术与设计学院 教授 2019国画3班 男
55000401 沈泰平 美术与设计学院 副教授 2019国画2班 男
55000402 赖恨荷 美术与设计学院 教授 2019国画1班 女
55000403 漕雯华 电子电气工程学院 副教授 2019自动化控制工程3班 女
55000404 刘涵菡 电子电气工程学院 教授 2019自动化控制工程2班 女
55000405 田凯泽 电子电气工程学院 副教授 2019自动化控制工程1班 男
55000406 宋飞翮 电子电气工程学院 教授 2019电气工程3班 男
55000407 蔡阳辉 电子电气工程学院 副教授 2019电气工程2班 男
55000408 沈书芹 电子电气工程学院 副教授 2019电气工程1班 女
55000409 史白易 生物与纳米科学学院 副教授 2019纳米科学3班 女
55000410 熊赛玉 生物与纳米科学学院 教授 2019纳米科学2班 女
55000411 丁芳懿 生物与纳米科学学院 副教授 2019纳米科学1班 女
55000412 郝嘉禾 生物与纳米科学学院 教授 2019生物科学3班 女
55000413 谭从阳 生物与纳米科学学院 副教授 2019生物科学2班 女
55000414 崔元化 生物与纳米科学学院 教授 2019生物科学1班 男
55000415 任嘉泽 物理科学学院 讲师 2019应用物理3班 男
55000416 彭问蕊 物理科学学院 教授 2019应用物理2班 女
55000417 赵初南 物理科学学院 讲师 2019应用物理1班 女
55000418 田绿夏 物理科学学院 副教授 2019基础物理3班 女
55000419 冯鸿雪 物理科学学院 副教授 2019基础物理2班 男
55000420 孙元魁 物理科学学院 讲师 2019基础物理1班 男
55000421 郑嘉勋 数学与统计学院 讲师 2019管理与统计3班 男
55000422 廖水卉 数学与统计学院 教授 2019管理与统计2班 女
55000423 冯雨晨 数学与统计学院 副教授 2019管理与统计1班 女
55000424 史媛女 数学与统计学院 教授 2019应用数学3班 女
55000425 徐慕涵 数学与统计学院 教授 2019应用数学2班 女
55000426 汪菊月 数学与统计学院 教授 2019应用数学1班 女
55000427 范紫寒 数学与统计学院 讲师 2019基础数学3班 女
55000428 张建安 数学与统计学院 讲师 2019基础数学2班 男
55000429 赵德元 数学与统计学院 讲师 2019基础数学1班 男
55000430 彭沛芹 化学化工学院 副教授 2019应用化学3班 女
55000431 吴秦澈 化学化工学院 副教授 2019应用化学2班 女
55000432 田代玉 化学化工学院 副教授 2019应用化学1班 女
55000433 周曼婉 化学化工学院 教授 2019基础化学3班 女
55000434 宋立轩 化学化工学院 副教授 2019基础化学2班 男
55000435 顾天赋 化学化工学院 副教授 2019基础化学1班 男
55000436 谢弘光 体育科学学院 教授 2019运动康复3班 男
55000437 张绮琴 体育科学学院 讲师 2019运动康复2班 女
55000438 熊水风 体育科学学院 讲师 2019运动康复1班 女
55000439 金清悦 体育科学学院 教授 2019篮球专项3班 女
55000440 孙阳飇 体育科学学院 教授 2019篮球专项2班 男
55000441 毛嘉树 体育科学学院 副教授 2019篮球专项1班 男
55000442 吴斯伯 体育科学学院 副教授 2019水下运动专项3班 男
55000443 周悦淇 体育科学学院 副教授 2019水下运动专项2班 女
55000444 苏苏格 体育科学学院 讲师 2019水下运动专项1班 女
55000445 魏楠楠 体育科学学院 讲师 2019健身体育3班 女
55000446 邓成文 体育科学学院 教授 2019健身体育2班 男
55000447 唐德辉 体育科学学院 副教授 2019健身体育1班 男
55000448 方博涉 体育科学学院 讲师 2019体育教育3班 男
55000449 林丝萝 体育科学学院 副教授 2019体育教育2班 女
55000450 苏琼音 体育科学学院 讲师 2019体育教育1班 女
55000451 孔月杉 体育科学学院 副教授 2019人体科学3班 女
55000452 邵琳竣 体育科学学院 副教授 2019人体科学2班 女
55000453 谭云水 体育科学学院 副教授 2019人体科学1班 女
55000454 周翠彤 人工智能学院 讲师 2019计算机视觉3班 女
55000455 潘修平 人工智能学院 副教授 2019计算机视觉2班 男
55000456 孙欣然 人工智能学院 副教授 2019计算机视觉1班 男
55000457 杜柔惠 人工智能学院 副教授 2019自动驾驶技术3班 女
55000458 邱山梅 人工智能学院 讲师 2019自动驾驶技术2班 女
55000459 贺田然 人工智能学院 讲师 2019自动驾驶技术1班 女
55000460 尹敏博 人工智能学院 讲师 2019深度学习应用3班 男
55000461 史修德 人工智能学院 教授 2019深度学习应用2班 男
55000462 杨刚捷 人工智能学院 讲师 2019深度学习应用1班 男
55000463 白卓妍 人工智能学院 副教授 2019机器学习与模式识别3班 女
55000464 彭勤琼 人工智能学院 讲师 2019机器学习与模式识别2班 女
55000465 罗白梦 人工智能学院 讲师 2019机器学习与模式识别1班 女
55000466 杨博涛 人工智能学院 副教授 2019智能系统3班 男
55000467 汤承弼 人工智能学院 教授 2019智能系统2班 男
55000468 易和平 人工智能学院 讲师 2019智能系统1班 男
55000469 梁弘懿 化学化工学院 教授  男
55000470 汤雅懿 化学化工学院 讲师  男
55000471 康白秋 人工智能学院 教授  女
55000472 蔡渲染 人工智能学院 副教授  女
55000473 潘逸雅 人工智能学院 教授  女
55000474 袁丝柳 人工智能学院 讲师  女
55000475 薛梦桐 人工智能学院 副教授  女
55000476 林幻翠 人工智能学院 教授  女
55000477 何文星 人工智能学院 讲师  男
55000478 萧玉宇 人工智能学院 副教授  男
55000479 蒋学文 人工智能学院 副教授  男
55000480 彭永嘉 人工智能学院 教授  男
55000481 李清霁 人工智能学院 副教授  女
55000482 顾绢子 人工智能学院 教授  女
55000483 萧芳洲 人工智能学院 讲师  女
55000484 周康宁 人工智能学院 副教授  男
55000485 余才俊 人工智能学院 讲师  男
55000486 傅子安 人工智能学院 教授  男
55000487 吕飞飙 人工智能学院 教授  男
55000488 卢千束 航空航天工程学院 副教授  女
55000489 江芷兰 航空航天工程学院 副教授  女
55000490 武婉柔 航空航天工程学院 讲师  女
55000491 吴星剑 航空航天工程学院 讲师  男
55000492 乔俊名 航空航天工程学院 讲师  男
55000493 张和悦 航空航天工程学院 教授  男
55000494 范安民 航空航天工程学院 教授  男
55000495 胡锦程 航空航天工程学院 教授  男
55000496 朱笑笑 电子电气工程学院 副教授  女
55000497 侯麦冬 电子电气工程学院 教授  女
55000498 龙韦曲 电子电气工程学院 教授  女
55000499 邹梓玥 电子电气工程学院 教授  女
55000500 朱承嗣 电子电气工程学院 讲师  男
55000501 秦宾白 电子电气工程学院 教授  男
55000502 赵小瑜 体育科学学院 讲师  女
55000503 邹雁梅 体育科学学院 副教授  女
55000504 任芳芳 体育科学学院 教授  女
55000505 杨俊风 体育科学学院 副教授  男
55000506 孔承望 体育科学学院 教授  男
55000507 程怜珊 美术与设计学院 教授  女
55000508 萧之双 美术与设计学院 教授  女
55000509 胡珍丽 美术与设计学院 副教授  女
55000510 任音景 美术与设计学院 教授  女
55000511 方子舒 美术与设计学院 讲师  女
55000512 潘庆生 美术与设计学院 教授  男
55000513 邓伟兆 美术与设计学院 教授  男
55000514 黄和泰 美术与设计学院 讲师  男
55000515 冯经国 美术与设计学院 副教授  男
55000516 冯和豫 美术与设计学院 副教授  男
55000517 龙科翰 美术与设计学院 讲师  女
55000518 叶溪儿 美术与设计学院 讲师  女
55000519 唐梓婷 美术与设计学院 教授  女
55000520 魏泰然 美术与设计学院 讲师  男
55000521 冯良吉 美术与设计学院 讲师  男
55000522 许鸿畴 美术与设计学院 讲师  男
55000523 李梓敏 化学化工学院 讲师  女
55000524 丁依珊 化学化工学院 教授  女
55000525 汪丽思 化学化工学院 讲师  女
55000526 朱夜春 化学化工学院 教授  女
55000527 顾燕明 化学化工学院 教授  女
55000528 彭欣怡 化学化工学院 讲师  男
55000529 汤永昌 化学化工学院 教授  男
55000530 朱欣荣 化学化工学院 教授  男
55000531 杜乐容 化学化工学院 教授  男
55000532 姜湛蓝 体育科学学院 教授  女
55000533 杨幼丝 体育科学学院 教授  女
55000534 钱绿旋 体育科学学院 教授  女
55000535 龚成荫 体育科学学院 副教授  男
55000536 曹乐欣 体育科学学院 讲师  男
55000537 邓书桃 美术与设计学院 讲师  女
55000538 孔乐容 美术与设计学院 教授  女
55000539 宋灵仙 美术与设计学院 副教授  女
55000540 易兰月 美术与设计学院 教授  女
55000541 孙幼柏 美术与设计学院 讲师  女
55000542 董意蕴 美术与设计学院 讲师  男
55000543 万建安 美术与设计学院 教授  男
55000544 吕智明 美术与设计学院 教授  男
55000545 文石英 物理科学学院 教授  女
55000546 唐音韵 物理科学学院 教授  女
55000547 邱子萱 物理科学学院 教授  女
55000548 邱寻雪 物理科学学院 教授  女
55000549 黎北晶 物理科学学院 教授  女
55000550 杨承平 物理科学学院 副教授  男
55000551 曾雨华 物理科学学院 讲师  男
55000552 秦和豫 物理科学学院 副教授  男
55000553 卢梦香 化学化工学院 讲师  女
55000554 周白亦 化学化工学院 讲师  女
55000555 张秀丽 化学化工学院 讲师  女
55000556 贺一芳 化学化工学院 副教授  女
55000557 龙白容 化学化工学院 副教授  女
55000558 姜兰尹 化学化工学院 讲师  女
55000559 万永言 化学化工学院 教授  男
55000560 曹康复 化学化工学院 教授  男
55000561 邱俊人 化学化工学院 副教授  男
55000562 孙成化 化学化工学院 讲师  男
55000563 蒋天瑞 化学化工学院 副教授  男
55000564 郭欣瑶 数学与统计学院 教授  女
55000565 魏莹玉 数学与统计学院 教授  女
55000566 石琼音 数学与统计学院 讲师  女
55000567 白燕齐 数学与统计学院 副教授  女
55000568 崔春霞 数学与统计学院 副教授  女
55000569 文烨赫 数学与统计学院 副教授  男
55000570 萧天路 数学与统计学院 讲师  男
55000571 方丰茂 数学与统计学院 副教授  男
55000572 汤高飞 数学与统计学院 讲师  男
55000573 韩明煦 化学化工学院 教授  女
55000574 吕姮娥 化学化工学院 教授  女
55000575 郭向彤 化学化工学院 副教授  女
55000576 潘柏颜 化学化工学院 讲师  女
55000577 邵思娜 化学化工学院 副教授  女
55000578 蔡承泽 化学化工学院 讲师  男
55000579 郑修竹 化学化工学院 讲师  男
55000580 顾茂德 化学化工学院 讲师  男
55000581 徐兴学 化学化工学院 副教授  男
55000582 刘姣妍 体育科学学院 副教授  女
55000583 侯静芙 体育科学学院 副教授  女
55000584 熊梓珊 体育科学学院 副教授  女
55000585 胡淼淼 体育科学学院 讲师  女
55000586 钱晨辰 体育科学学院 教授  女
55000587 宋友蕊 体育科学学院 讲师  女
55000588 常高畅 体育科学学院 副教授  男
55000589 龚逸春 体育科学学院 副教授  男
55000590 黄康宁 体育科学学院 副教授  男
55000591 何力学 体育科学学院 副教授  男
55000592 夏文曜 体育科学学院 教授  男
55000593 黄智宸 化学化工学院 教授  女
55000594 文若灵 化学化工学院 教授  女
55000595 唐书文 化学化工学院 教授  女
55000596 姚晓丝 化学化工学院 讲师  女
55000597 徐灵韵 化学化工学院 讲师  女
55000598 刘高寒 化学化工学院 副教授  男
55000599 姜文彦 化学化工学院 副教授  男
55000600 崔文滨 化学化工学院 教授  男
55000601 乔欣荣 化学化工学院 副教授  男
55000602 吕宏硕 化学化工学院 教授  男
55000603 何痴灵 化学化工学院 讲师  女
55000604 戴采萱 化学化工学院 教授  女
55000605 戴柔惠 化学化工学院 讲师  女
55000606 许微熹 化学化工学院 教授  女
55000607 顾悦喜 化学化工学院 副教授  女
55000608 贺鸿哲 化学化工学院 副教授  男
55000609 阎博赡 化学化工学院 讲师  男
55000610 任凝静 音乐与舞蹈学院 讲师  女
55000611 卢叶丰 音乐与舞蹈学院 教授  女
55000612 乔童欣 音乐与舞蹈学院 副教授  女
55000613 宋飞鹏 音乐与舞蹈学院 副教授  男
55000614 沈宜修 音乐与舞蹈学院 教授  男
55000615 文德宇 音乐与舞蹈学院 教授  男
55000616 石志尚 音乐与舞蹈学院 教授  男
55000617 何翔宇 音乐与舞蹈学院 副教授  男
55000618 武依婷 航空航天工程学院 教授  女
55000619 韩夏月 航空航天工程学院 教授  女
55000620 孙歆美 航空航天工程学院 副教授  女
55000621 谭向笛 航空航天工程学院 讲师  男
55000622 秦良朋 航空航天工程学院 讲师  男
55000623 余水云 化学化工学院 副教授  女
55000624 钱文茵 化学化工学院 教授  女
55000625 龙歆美 化学化工学院 教授  女
55000626 王润丽 化学化工学院 讲师  女
55000627 崔高妍 化学化工学院 教授  女
55000628 熊子安 化学化工学院 讲师  男
55000629 段志诚 化学化工学院 讲师  男
55000630 胡飞虎 化学化工学院 讲师  男
55000631 汤心远 化学化工学院 教授  男
55000632 郑涵衍 化学化工学院 讲师  男
55000633 罗幻梅 化学化工学院 讲师  女
55000634 黎杰文 化学化工学院 副教授  女
55000635 吴春雪 化学化工学院 副教授  女
55000636 龚优瑗 化学化工学院 讲师  女
55000637 蔡鸿轩 化学化工学院 讲师  男
55000638 宋瀚海 化学化工学院 教授  男
55000639 梁傲儿 计算机科学与技术学院 讲师  女
55000640 魏鸣玉 计算机科学与技术学院 副教授  女
55000641 田炜琳 计算机科学与技术学院 副教授  女
55000642 毛鸿禧 计算机科学与技术学院 教授  男
55000643 乔飞鸣 计算机科学与技术学院 副教授  男
55000644 吴乐丹 数学与统计学院 讲师  女
55000645 戴从霜 数学与统计学院 副教授  女
55000646 石语雪 数学与统计学院 副教授  女
55000647 叶青槐 数学与统计学院 副教授  女
55000648 范茂实 数学与统计学院 教授  男
55000649 戴濮存 数学与统计学院 副教授  男
55000650 田经略 数学与统计学院 教授  男
55000651 赖荌荌 人工智能学院 教授  女
55000652 董寒凡 人工智能学院 副教授  女
55000653 邵心怡 人工智能学院 副教授  女
55000654 邱明哲 人工智能学院 讲师  男
55000655 白飞章 人工智能学院 副教授  男
55000656 段德佑 人工智能学院 副教授  男
55000657 孔冷雁 美术与设计学院 讲师  女
55000658 尹米兰 美术与设计学院 教授  女
55000659 顾凌香 美术与设计学院 讲师  女
55000660 郑英才 美术与设计学院 讲师  男
55000661 苏翰池 美术与设计学院 讲师  男
55000662 刘安顺 美术与设计学院 教授  男
55000663 邓博涛 美术与设计学院 副教授  男
55000664 周映颖 数学与统计学院 副教授  女
55000665 刘瑾瑶 数学与统计学院 副教授  女
55000666 林雅韵 数学与统计学院 教授  女
55000667 阎以云 数学与统计学院 讲师  女
55000668 崔痴梦 数学与统计学院 讲师  女
55000669 钟合美 数学与统计学院 讲师  女
55000670 崔高畅 数学与统计学院 教授  男
55000671 龚星剑 数学与统计学院 教授  男
55000672 戴经略 数学与统计学院 副教授  男
55000673 谭康复 数学与统计学院 讲师  男
55000674 冯宏富 数学与统计学院 副教授  男
55000675 于妍雅 物理科学学院 副教授  女
55000676 戴语风 物理科学学院 讲师  女
55000677 孙靖柔 物理科学学院 副教授  女
55000678 谢夏瑶 物理科学学院 教授  女
55000679 龚乐章 物理科学学院 讲师  男
55000680 姚光霁 物理科学学院 副教授  男
55000681 程良材 物理科学学院 副教授  男
55000682 魏自明 物理科学学院 讲师  男
55000683 于天华 物理科学学院 教授  男
55000684 钱笑珊 数学与统计学院 教授  女
55000685 冯清悦 数学与统计学院 讲师  女
55000686 朱晨钰 数学与统计学院 教授  女
55000687 钟颖慧 数学与统计学院 教授  女
55000688 郝天洁 数学与统计学院 副教授  女
55000689 黄睿识 数学与统计学院 教授  男
55000690 罗天纵 数学与统计学院 教授  男
55000691 郭学名 数学与统计学院 教授  男
55000692 高成仁 数学与统计学院 副教授  男
55000693 段正文 数学与统计学院 讲师  男
55000694 赵尔容 数学与统计学院 副教授  女
55000695 梁以彤 数学与统计学院 讲师  女
55000696 薛沛岚 数学与统计学院 讲师  女
55000697 孙嘉纳 数学与统计学院 副教授  男
55000698 段元恺 数学与统计学院 讲师  男
55000699 宋伟才 数学与统计学院 副教授  男
55000700 邱炫明 数学与统计学院 副教授  男
55000701 夏从云 人工智能学院 副教授  女
55000702 毛春梅 人工智能学院 副教授  女
55000703 吴瑞灵 人工智能学院 教授  女
55000704 姜烨煜 人工智能学院 讲师  男
55000705 程智鑫 人工智能学院 教授  男
55000706 常光华 人工智能学院 教授  男
55000707 程鸿朗 人工智能学院 教授  男
55000708 赖井色 航空航天工程学院 讲师  女
55000709 程秋柳 航空航天工程学院 教授  女
55000710 何冰枫 航空航天工程学院 教授  女
55000711 林怀蕊 航空航天工程学院 讲师  女
55000712 史思宸 航空航天工程学院 讲师  女
55000713 林问萍 航空航天工程学院 教授  女
55000714 金国兴 航空航天工程学院 讲师  男
55000715 段阳曜 航空航天工程学院 讲师  男
55000716 石修明 航空航天工程学院 讲师  男
55000717 董修竹 航空航天工程学院 教授  男
55000718 任鸿远 航空航天工程学院 副教授  男
55000719 杨卓然 计算机科学与技术学院 教授  女
55000720 徐彦红 计算机科学与技术学院 副教授  女
55000721 夏乐怡 计算机科学与技术学院 教授  女
55000722 阎雪风 计算机科学与技术学院 副教授  男
55000723 彭雅畅 计算机科学与技术学院 教授  男
55000724 万德水 计算机科学与技术学院 副教授  男
55000725 潘经略 计算机科学与技术学院 教授  男
55000726 李淳美 电子电气工程学院 讲师  女
55000727 郝苏迷 电子电气工程学院 讲师  女
55000728 萧诗槐 电子电气工程学院 教授  女
55000729 潘宏邈 电子电气工程学院 讲师  男
55000730 吴浩博 电子电气工程学院 讲师  男
55000731 廖之柔 人工智能学院 教授  女
55000732 李秋芳 人工智能学院 讲师  女
55000733 董琳淼 人工智能学院 讲师  女
55000734 魏高畅 人工智能学院 讲师  男
55000735 苏宏伟 人工智能学院 讲师  男
55000736 周代萱 电子电气工程学院 讲师  女
55000737 秦琨瑜 电子电气工程学院 教授  女
55000738 谭棠莉 电子电气工程学院 教授  女
55000739 段朵儿 电子电气工程学院 教授  女
55000740 金勇锐 电子电气工程学院 教授  男
55000741 贺浩初 电子电气工程学院 副教授  男
55000742 康建章 电子电气工程学院 讲师  男
55000743 易依美 化学化工学院 讲师  女
55000744 林雪晴 化学化工学院 教授  女
55000745 魏碧菡 化学化工学院 教授  女
55000746 金鸣晨 化学化工学院 教授  女
55000747 钱玉萍 化学化工学院 讲师  女
55000748 徐乐容 化学化工学院 教授  男
55000749 白天赋 化学化工学院 讲师  男
55000750 田鸿才 化学化工学院 教授  男
55000751 彭学名 化学化工学院 副教授  男
55000752 彭浩初 化学化工学院 副教授  男
55000753 高陶宜 化学化工学院 讲师  女
55000754 陆凌珍 化学化工学院 副教授  女
55000755 胡阿柒 化学化工学院 副教授  女
55000756 程向彤 化学化工学院 讲师  女
55000757 何燕桦 化学化工学院 教授  女
55000758 丁一嘉 化学化工学院 副教授  女
55000759 姚开畅 化学化工学院 教授  男
55000760 邓高飞 化学化工学院 教授  男
55000761 夏烨然 化学化工学院 讲师  男
55000762 张若美 体育科学学院 副教授  女
55000763 孙安安 体育科学学院 讲师  女
55000764 陆慕悦 体育科学学院 讲师  女
55000765 何正豪 体育科学学院 教授  男
55000766 龙巍昂 体育科学学院 副教授  男
55000767 龙飞尘 体育科学学院 副教授  男
55000768 马炎彬 体育科学学院 讲师  男
55000769 文光启 体育科学学院 讲师  男
55000770 乔凝雨 音乐与舞蹈学院 讲师  女
55000771 夏芳润 音乐与舞蹈学院 讲师  女
55000772 沈思溪 音乐与舞蹈学院 副教授  女
55000773 郑夜春 音乐与舞蹈学院 副教授  女
55000774 金德馨 音乐与舞蹈学院 副教授  男
55000775 杨高义 音乐与舞蹈学院 副教授  男
55000776 刘翰林 音乐与舞蹈学院 教授  男
55000777 汤睿识 音乐与舞蹈学院 讲师  男
55000778 赖飞尘 音乐与舞蹈学院 教授  男
55000779 马悦和 计算机科学与技术学院 教授  女
55000780 余姣妍 计算机科学与技术学院 副教授  女
55000781 姜庆霞 计算机科学与技术学院 教授  女
55000782 唐文光 计算机科学与技术学院 副教授  男
55000783 吕和悌 计算机科学与技术学院 副教授  男
55000784 顾玉轩 计算机科学与技术学院 副教授  男
55000785 谭天和 计算机科学与技术学院 教授  男
55000786 蔡斯乔 电子电气工程学院 副教授  女
55000787 王水绿 电子电气工程学院 副教授  女
55000788 董采珊 电子电气工程学院 副教授  女
55000789 罗英朗 电子电气工程学院 教授  男
55000790 钱英才 电子电气工程学院 讲师  男
55000791 吕永春 电子电气工程学院 副教授  男
55000792 谢鹏飞 电子电气工程学院 副教授  男
55000793 林安志 电子电气工程学院 教授  男
55000794 夏幼丝 数学与统计学院 教授  女
55000795 董友梅 数学与统计学院 讲师  女
55000796 杨幻波 数学与统计学院 讲师  女
55000797 魏凝洁 数学与统计学院 讲师  女
55000798 江苏凉 数学与统计学院 副教授  女
55000799 谢殷歌 数学与统计学院 教授  女
55000800 赵良翰 数学与统计学院 副教授  男
55000801 胡浦泽 数学与统计学院 教授  男
55000802 贺元洲 数学与统计学院 教授  男
55000803 邱翰池 数学与统计学院 教授  男
55000804 薛安志 数学与统计学院 教授  男
55000805 余碧凡 物理科学学院 教授  女
55000806 王会雯 物理科学学院 副教授  女
55000807 姜甘泽 物理科学学院 教授  女
55000808 郝苑博 物理科学学院 讲师  男
55000809 曾明哲 物理科学学院 讲师  男
55000810 谢承宣 物理科学学院 教授  男
55000811 毛菡梅 人工智能学院 讲师  女
55000812 谢姗姗 人工智能学院 讲师  女
55000813 薛梦洁 人工智能学院 副教授  女
55000814 许雨蓉 人工智能学院 副教授  女
55000815 潘梓舒 人工智能学院 副教授  女
55000816 汤梓琬 人工智能学院 副教授  女
55000817 石永昌 人工智能学院 副教授  男
55000818 袁鹏海 人工智能学院 讲师  男
55000819 谭小星 计算机科学与技术学院 副教授  女
55000820 邵柔谨 计算机科学与技术学院 副教授  女
55000821 常河灵 计算机科学与技术学院 讲师  女
55000822 蔡丽雅 计算机科学与技术学院 教授  女
55000823 贾雨莲 计算机科学与技术学院 副教授  女
55000824 贺高逸 计算机科学与技术学院 讲师  男
55000825 黄飞掣 计算机科学与技术学院 讲师  男
55000826 邵光济 计算机科学与技术学院 副教授  男
55000827 夏睿明 计算机科学与技术学院 教授  男
55000828 易翰翮 计算机科学与技术学院 讲师  男
55000829 崔欣秀 计算机科学与技术学院 讲师  女
55000830 萧夏青 计算机科学与技术学院 讲师  女
55000831 曾凌春 计算机科学与技术学院 副教授  女
55000832 陈子琳 计算机科学与技术学院 教授  女
55000833 苏夏萱 计算机科学与技术学院 教授  女
55000834 贺谧辰 计算机科学与技术学院 讲师  女
55000835 萧浦和 计算机科学与技术学院 副教授  男
55000836 于理全 计算机科学与技术学院 副教授  男
55000837 郑甄梨 美术与设计学院 副教授  女
55000838 孟水格 美术与设计学院 教授  女
55000839 程芮澜 美术与设计学院 讲师  女
55000840 秦茵茵 美术与设计学院 副教授  女
55000841 钟振文 美术与设计学院 讲师  女
55000842 周乐容 美术与设计学院 教授  男
55000843 顾温文 美术与设计学院 教授  男
55000844 龚宏扬 美术与设计学院 讲师  男
55000845 吴风华 美术与设计学院 副教授  男
55000846 苏飞星 美术与设计学院 教授  男
55000847 钱柔煦 美术与设计学院 讲师  女
55000848 谢忆敏 美术与设计学院 讲师  女
55000849 唐木蓉 美术与设计学院 教授  女
55000850 贾流婉 美术与设计学院 教授  女
55000851 宋谷波 美术与设计学院 副教授  女
55000852 戴梓柔 美术与设计学院 副教授  女
55000853 胡高峯 美术与设计学院 讲师  男
55000854 曹文轩 美术与设计学院 教授  男
55000855 易文耀 美术与设计学院 讲师  男
55000856 秦炎彬 美术与设计学院 副教授  男
55000857 汪华清 美术与设计学院 讲师  男
55000858 龚书慧 航空航天工程学院 教授  女
55000859 李盼香 航空航天工程学院 副教授  女
55000860 史梓洁 航空航天工程学院 副教授  女
55000861 周芳苓 航空航天工程学院 教授  女
55000862 毛奇逸 航空航天工程学院 讲师  男
55000863 贺浩慨 航空航天工程学院 教授  男
55000864 熊玉宸 航空航天工程学院 副教授  男
55000865 邓修能 航空航天工程学院 讲师  男
55000866 曾敏思 电子电气工程学院 教授  女
55000867 何宜嘉 电子电气工程学院 教授  女
55000868 漕初夏 电子电气工程学院 副教授  女
55000869 张健柏 电子电气工程学院 副教授  男
55000870 汤浩瀚 电子电气工程学院 讲师  男
55000871 侯学真 电子电气工程学院 副教授  男
55000872 何优瑗 体育科学学院 副教授  女
55000873 薛浩文 体育科学学院 讲师  女
55000874 文宁乐 体育科学学院 讲师  女
55000875 史思卉 体育科学学院 讲师  女
55000876 邵叶澜 体育科学学院 副教授  女
55000877 钟烨霖 体育科学学院 教授  男
55000878 金弘和 体育科学学院 教授  男
55000879 江宾实 体育科学学院 讲师  男
55000880 李元化 体育科学学院 教授  男
55000881 马春娇 人工智能学院 教授  女
55000882 刘琬玲 人工智能学院 副教授  女
55000883 沈森丽 人工智能学院 讲师  女
55000884 梁新洁 人工智能学院 副教授  女
55000885 康景文 人工智能学院 副教授  女
55000886 叶天元 人工智能学院 讲师  男
55000887 秦高昂 人工智能学院 副教授  男
55000888 阎江红 航空航天工程学院 讲师  女
55000889 陆修洁 航空航天工程学院 讲师  女
55000890 文淑婉 航空航天工程学院 副教授  女
55000891 邵紊文 航空航天工程学院 教授  女
55000892 石半烟 航空航天工程学院 副教授  女
55000893 蔡志尚 航空航天工程学院 讲师  男
55000894 许星渊 航空航天工程学院 教授  男
55000895 赵嘉志 航空航天工程学院 教授  男
55000896 梁灵薇 电子电气工程学院 副教授  女
55000897 高清莹 电子电气工程学院 副教授  女
55000898 贾词兮 电子电气工程学院 教授  女
55000899 袁瑞灵 电子电气工程学院 教授  女
55000900 王琛瑞 电子电气工程学院 讲师  女
55000901 傅菊华 电子电气工程学院 副教授  女
55000902 谢鹤轩 电子电气工程学院 讲师  男
55000903 陈哲瀚 电子电气工程学院 教授  男
55000904 熊哲圣 电子电气工程学院 副教授  男
55000905 常悦心 物理科学学院 讲师  女
55000906 马梓莹 物理科学学院 教授  女
55000907 乔忻欢 物理科学学院 讲师  女
55000908 林子薇 物理科学学院 讲师  女
55000909 廖婉丽 物理科学学院 副教授  女
55000910 龚博远 物理科学学院 副教授  男
55000911 袁高格 物理科学学院 讲师  男
55000912 孔萦心 体育科学学院 讲师  女
55000913 傅常红 体育科学学院 讲师  女
55000914 程馨蓉 体育科学学院 副教授  女
55000915 蔡奕奕 体育科学学院 教授  女
55000916 姜悠雅 体育科学学院 教授  女
55000917 许英杰 体育科学学院 副教授  男
55000918 文开济 体育科学学院 讲师  男
55000919 韩勇锐 体育科学学院 教授  男
55000920 周同化 体育科学学院 讲师  男
55000921 彭薇颖 人工智能学院 副教授  女
55000922 史含雁 人工智能学院 讲师  女
55000923 苏代玉 人工智能学院 讲师  女
55000924 苏高韵 人工智能学院 副教授  男
55000925 蔡浩气 人工智能学院 讲师  男
55000926 陈宣艳 电子电气工程学院 教授  女
55000927 史雅惠 电子电气工程学院 教授  女
55000928 龚文君 电子电气工程学院 副教授  女
55000929 苏夏菡 电子电气工程学院 讲师  女
55000930 蒋静芙 电子电气工程学院 副教授  女
55000931 姚弘和 电子电气工程学院 副教授  男
55000932 龙和通 电子电气工程学院 讲师  男
55000933 段俊驰 电子电气工程学院 讲师  男
55000934 石英华 电子电气工程学院 教授  男
55000935 谭葱娟 物理科学学院 副教授  女
55000936 叶惜萱 物理科学学院 教授  女
55000937 郑歆然 物理科学学院 副教授  女
55000938 邵书瑶 物理科学学院 讲师  女
55000939 郭念薇 物理科学学院 讲师  女
55000940 李艳蕙 物理科学学院 讲师  女
55000941 姚俊拔 物理科学学院 教授  男
55000942 罗瀚玥 物理科学学院 副教授  男
55000943 张怡月 化学化工学院 教授  女
55000944 蔡凝安 化学化工学院 讲师  女
55000945 漕初彤 化学化工学院 副教授  女
55000946 蔡嘉慕 化学化工学院 副教授  男
55000947 袁修永 化学化工学院 讲师  男
55000948 宋睿明 化学化工学院 教授  男
55000949 傅平心 计算机科学与技术学院 讲师  女
55000950 史银玲 计算机科学与技术学院 副教授  女
55000951 郭水格 计算机科学与技术学院 副教授  女
55000952 赵乐蓉 计算机科学与技术学院 教授  女
55000953 孙霞飞 计算机科学与技术学院 副教授  女
55000954 熊康时 计算机科学与技术学院 讲师  男
55000955 夏高兴 计算机科学与技术学院 讲师  男
55000956 陈力行 计算机科学与技术学院 教授  男
